data_ora,latitudine,longitudine,mag_x,mag_y,mag_z,nord,accel_x,accel_y,accel_z,accel_pitch,accel_roll,accel_yaw,gyro_x,gyro_y,gyro_z,gyro_pitch,gyro_roll,gyro_yaw,pitch,roll,yaw,temperatura,temperatura2,pressione,umidita
2019-04-05_16:16:28.099668,29:21:19.6,-49:40:58.2,17.96781349182129,16.684833526611328,47.19192886352539,68.95446163380886,-0.0019746851176023483,0.027192767709493637,0.01096635777503252,5.181376808616618,82.40787158160464,68.88700668556582,0.2679624557495117,0.09916915744543076,0.00029855966567993164,5.254081184123643,82.26685549600056,69.0029696372943,5.263488489044866,82.51071373993753,69.08570371871066,33.43303680419922,33.43303680419922,983.6943359375,33.42180252075195
2019-04-05_16:16:43.429154,30:02:06.8,-48:56:48.4,17.748071670532227,16.04456329345703,48.23038864135742,22.616977860939766,-0.0017278495943173766,0.025736013427376747,0.013403326272964478,4.6776115106272735,60.536683783685866,23.333056601071196,0.27071136236190796,0.09519853442907333,0.00029855966567993164,4.7152689048424925,60.84465701336174,23.430627560912118,4.7590008985507914,61.0924562764498,23.506833689029243,33.43303680419922,33.43303680419922,983.70947265625,33.93379211425781
2019-04-05_16:16:58.600762,30:42:36.3,-48:11:59.0,17.85890007019043,16.614173889160156,47.83881378173828,75.01818746573029,-0.004196206107735634,0.025250427424907684,0.01364702358841896,2.3816897383477964,89.6793865946486,74.8938711926469,0.26704615354537964,0.09764198958873749,0.00029855966567993164,2.4193896078019166,89.3890011020855,74.98982169010723,2.4195810665420887,89.63065319492055,75.07442041316702,33.33816909790039,33.33816909790039,983.68115234375,33.67408752441406
2019-04-05_16:17:13.895156,31:22:47.5,-47:26:28.5,17.968414306640625,16.56839942932129,48.481536865234375,21.25567676312662,-0.0024683563970029354,0.026707183569669724,0.012915932573378086,3.9218536402863013,59.906189021401985,21.9966617880665,0.27010050415992737,0.09336593747138977,0.00029855966567993164,3.954167692136455,60.22654538404309,22.07203292555759,3.99646107725082,60.475362345317485,22.14760896872378,33.39508819580078,33.39508819580078,983.724365234375,33.262271881103516
2019-04-05_16:17:29.048590,32:05:18.5,-46:37:09.2,18.57547378540039,16.393386840820312,48.21635818481445,75.27774148437996,-0.003949370235204697,0.02622159756720066,0.013159629888832569,2.179877071724372,89.27605709397018,75.14811815431145,0.2682678997516632,0.09642026573419571,0.00029855966567993164,2.2132858748324318,88.9710891475291,75.24136389686046,2.215211561291552,89.2129393158501,75.32822341253552,33.31919860839844,33.31919860839844,983.716552734375,33.852169036865234
2019-04-05_16:17:44.344828,32:44:49.4,-45:50:09.5,18.01068878173828,16.50005340576172,49.479469299316406,19.78868873319128,-0.0019746851176023483,0.025978805497288704,0.011210055090487003,3.623435418372451,59.66218734349245,20.575920969001317,0.2694896161556244,0.096725694835186,-0.0003123050555586815,3.687333545605213,59.86011939545025,20.652907446231115,3.7322356360957,60.11754922526803,20.727942196905584,33.33816909790039,33.33816909790039,983.728515625,33.93008041381836
2019-04-05_16:17:59.634378,33:23:59.5,-45:02:24.6,18.08136558532715,16.04014015197754,49.56697082519531,71.90593663833312,-0.0009873425588011742,0.02549321949481964,0.014865507371723652,5.0537615541641,90.43834355484208,71.84616565290634,0.2691842019557953,0.09642026573419571,0.00029855966567993164,4.99167043885363,90.2527058433903,71.93801803686466,4.99031293875609,90.49840823840317,72.02288996749125,33.31919860839844,33.31919860839844,983.716552734375,33.28082275390625
2019-04-05_16:18:14.795442,34:02:48.1,-44:13:53.0,17.987512588500977,15.420723915100098,50.03654479980469,24.274342046063577,-0.0024683563970029354,0.02549321949481964,0.01364702358841896,4.615799152412304,60.41774286947926,24.98232701202854,0.2694896161556244,0.09489309787750244,-0.0009231707081198692,4.685847864992663,60.73235504302839,25.055025838006863,4.727373707599048,60.97832381541889,25.128617711219167,33.33816909790039,33.33816909790039,983.7099609375,34.238014221191406
2019-04-05_16:18:30.067232,34:43:47.1,-43:21:14.1,18.187341690063477,14.931191444396973,49.89468002319336,76.15410256621678,-0.0029620276764035225,0.026464389637112617,0.012672236189246178,2.0100691774477464,90.08203307641001,76.023222481341,0.2691842019557953,0.09733656048774719,0.0006039924919605255,2.105039329318777,89.87487343888354,76.15118607544119,2.1061208470851662,90.11111602189594,76.23355132664237,33.45201110839844,33.45201110839844,983.738037109375,34.761131286621094
2019-04-05_16:18:45.355726,35:21:48.3,-42:31:01.5,18.205589294433594,15.335641860961914,50.46617889404297,18.726860694631927,-0.0012341781985014677,0.025978805497288704,0.011941145174205303,4.3345737972998455,58.60527704113551,19.527476686120604,0.2679624557495117,0.09580940008163452,0.00029855966567993164,4.354446232689998,59.01418680636583,19.619807183320837,4.397832448071565,59.261180107131835,19.69528248119677,33.26227569580078,33.26227569580078,983.71826171875,33.9931526184082
